symbol,name,theme,category,family,exchange,aum
HAP,VanEck Vectors Natural Resources ETF,Materials,Materials,VanEck Asset Management,PCX,334736992
HART,IQ Healthy Hearts ETF,Health Care,Health Care,IndexIQ,PCX,8669279
HIPS,GraniteShares HIPS US High Income ETF,Financials,Equities,Graniteshares,PCX,102554104
HNDL,Strategy Shares Nasdaq 7 Handl Index ETF,Equities,Equities,Strategy Shares,NGM,645654720
HOMZ,The Hoya Capital Housing ETF,Real Estate,Residential Real Estate,Hoya Capital Real Estate,PCX,33966324
HTEC,Robo Global Healthcare Technology and Innovation ETF,Health Care,Health Care,Robo Global,PCX,55841964
HYIN,WisdomTree Alternative Income Fund,Real Estate,REITs,WisdomTree Asset Management,BTS,51503016
IBUY,Amplify Online Retail ETF,Consumer Discretionary,Consumer Discretionary,Amplify ETFs,PCX,117876448
ICF,iShares Cohen & Steers REIT ETF,Real Estate,REITs,BlackRock Asset Management,BTS,2054818304
IEO,iShares U.S. Oil & Gas Exploration & Production ETF,Energy,Energy,BlackRock Asset Management,BTS,535960608
IFGL,iShares International Developed Real Estate ETF,Real Estate,REITs,BlackRock Asset Management,NGM,85899232
IGE,iShares North American Natural Resources ETF,Energy,Materials,BlackRock Asset Management,BTS,803296064
IGF,iShares Global Infrastructure ETF,Industrials,Utilities,BlackRock Asset Management,NGM,10599046144
IGM,iShares Expanded Tech Sector ETF,Information Technology,Technology,BlackRock Asset Management,PCX,11025057792
IGV,iShares Expanded Tech-Software Sector ETF,Information Technology,Technology,BlackRock Asset Management,BTS,16675979264
IHE,iShares U.S. Pharmaceuticals ETF,Health Care,Health Care,BlackRock Asset Management,PCX,912869184
IHI,iShares U.S. Medical Devices ETF,Health Care,Health Care,BlackRock Asset Management,PCX,2991947776
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,Real Estate,REITs,Pacer,PCX,113869024
IVOL,Quadratic Interest Rate Volatility and Inflation Hedge ETF New,Equities,Inflation-Protected Securities,Exchange Traded Concepts,PCX,313852288
IVRA,Invesco Real Assets ESG ETF,Equities,Real Estate Services,Invesco Investment Management,BTS,12015832
IXC,iShares Global Energy ETF,Energy,Energy,BlackRock Asset Management,PCX,2515988992
IXG,iShares Global Financials ETF,Financials,Financials,BlackRock Asset Management,PCX,542622592
IXJ,iShares Global Healthcare ETF,Health Care,Health Care,BlackRock Asset Management,PCX,3668297984
IXN,iShares Global Tech ETF,Information Technology,Technology,BlackRock Asset Management,PCX,9408125952
IXP,iShares Global Comm Services ETF,Communication Services,Communications,BlackRock Asset Management,PCX,606075520
IYG,iShares U.S. Financial Services ETF,Financials,Financials,BlackRock Asset Management,PCX,1903507968
IYLD,iShares Morningstar Multi-Asset Income ETF,Equities,Equities,BlackRock Asset Management,BTS,128089240
JXI,iShares Global Utilities ETF,Utilities,Utilities,BlackRock Asset Management,PCX,323487264
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,REITs,Invesco Investment Management,NGM,290015488
KOIN,Capital Link NextGen Protocol ETF,Information Technology,Technology,Innovation Shares,PCX,12765320
LIT,Global X Lithium & Battery Tech ETF,Materials,Materials,Global X Funds,PCX,2238539008
LRNZ,"TrueShares Technology, AI and Deep Learning ETF",Information Technology,Technology,TrueShares,PCX,39806864
MLPX,Global X MLP & Energy Infrastructure ETF,Energy,Energy,Global X Funds,PCX,3542717440
MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,REITs,VanEck Asset Management,PCX,394513088
NANR,SPDR S&P North American Natural Resources ETF,Equities,Materials,State Street Global Advisors,PCX,775273344
NERD,Roundhill BITKRAFT Esports & Digital Entertainment ETF,Information Technology,Consumer Discretionary,Roundhill Investments,PCX,14877969
NETL,Fundamental Income Net Lease Real Estate ETF,Real Estate,REITs,Exchange Traded Concepts,PCX,49148224
NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,Industrials,Utilities,Flexshares Trust,PCX,3057894400
NURE,Nuveen Short-Term REIT ETF,Real Estate,REITs,Nuveen,BTS,33664360
NXTG,First Trust IndXX NextG ETF,Information Technology,Technology,First Trust Advisors,NGM,589267200
ONLN,ProShares Online Retail ETF,Consumer Discretionary,Consumer Discretionary,ProShares,PCX,66124224
PBE,Invesco Dynamic Biotechnology & Genome ETF,Health Care,Health Care,Invesco Investment Management,PCX,259009376
PCEF,Invesco CEF Income Composite ETF,Financials,Equities,Invesco Investment Management,PCX,830256384
PFFR,InfraCap REIT Preferred ETF,Financials,REITs,Virtus,PCX,116735704
PHO,Invesco Water Resources ETF,Utilities,Materials,Invesco Investment Management,NGM,1977559936
PIO,Invesco Global Water ETF,Utilities,Materials,Invesco Investment Management,NMS,269346656
PPTY,PPTY – U.S. Diversified Real Estate ETF,Real Estate,REITs,PPTY,PCX,24644614
PRNT,The 3D Printing ETF,Information Technology,Technology,ARK ETF Trust,BTS,67716960
PSI,Invesco Dynamic Semiconductors ETF,Information Technology,Technology,Invesco Investment Management,PCX,2637922304
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,REITs,Invesco Investment Management,PCX,56967616
PXE,Invesco Dynamic Energy Exploration & Production ETF,Energy,Energy,Invesco Investment Management,PCX,126257240
PXI,Invesco DWA Energy Momentum ETF,Energy,Energy,Invesco Investment Management,NMS,79754608
PXJ,Invesco Dynamic Oil & Gas Services ETF,Energy,Energy,Invesco Investment Management,PCX,128854176
PYZ,Invesco DWA Basic Materials Momentum ETF,Materials,Materials,Invesco Investment Management,NMS,83709616
QTUM,Defiance Quantum ETF,Information Technology,Technology,Defiance ETFs,PCX,5701532672
RDOG,ALPS REIT Dividend Dogs ETF,Real Estate,REITs,ALPS ETF Trust,PCX,11181776
REET,iShares Global REIT ETF,Real Estate,REITs,BlackRock Asset Management,PCX,4767387136
REIT,ALPS Active REIT ETF,Real Estate,REITs,ALPS ETF Trust,NMS,52391592
REK,ProShares Short Real Estate,Real Estate,REITs,ProShares,PCX,10880929
REM,iShares Mortgage Real Estate Capped ETF,Real Estate,REITs,BlackRock Asset Management,BTS,556503872
REMX,VanEck Vectors Rare Earth/Strategic Metals ETF,Materials,Materials,VanEck Asset Management,PCX,3011745280
REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,Residential Real Estate,BlackRock Asset Management,PCX,843609408
RING,iShares MSCI Global Gold Miners ETF,Materials,Materials,BlackRock Asset Management,NMS,2789690368
ROBT,First Trust Nasdaq Artificial Intelligence and Robotics ETF,Information Technology,Technology,First Trust Advisors,NGM,763605248
